; Participant ; Group ; Run1_Time ; Run2_Time ; Run3_Time ; Run4_Time ; Run1_Btn ; Run2_Btn ; Run3_Btn ; Run4_Btn ; Run1_Joystick ; Run2_Joystick ; Run3_Joystick ; Run4_Joystick ; Run1_Drops ; Run2_Drops ; Run3_Drops ; Run4_Drops 
P32;30; Real ; 776.640991210938 ; 431.251007080078 ; 526.325988769531 ; 541.254028320313 ;198;102;171;207;616;343;460;457;2;0;0;1
P31;29; VR+ ; 647.22998046875 ; 558.833984375 ; 355.059997558594 ; 724.554992675781 ;305;296;202;241;270;282;193;484;4;2;0;0
P30;28; Real ; 929.386962890625 ; 786.788024902344 ; 607.796997070313 ; 415.273986816406 ;264;226;201;156;630;463;294;198;1;0;1;0
P29;27; Real ; 1090.02197265625 ; 954.893981933594 ; 751.651977539063 ; 408.035003662109 ;194;211;174;80;459;359;289;158;0;2;0;0
P28;26; VR ; 596.455017089844 ; 180.911987304688 ; 206.953002929687 ; 367.807006835937 ;219;76;79;155;386;118;122;260;5;2;3;2
P27;25; VR ; 422.658996582031 ; 472.733001708984 ; 321.691009521484 ; 293.497009277344 ;183;248;135;158;309;384;223;245;5;1;3;0
P26;24; VR ; 393.553039550781 ; 328.074005126953 ; 226.35400390625 ; 302.786010742187 ;111;114;88;109;299;213;121;168;1;1;0;0
P25;23; VR+ ; 361.196014404297 ; 264.065002441406 ; 253.186004638672 ; 298.713012695312 ;304;248;259;182;241;219;195;279;2;1;1;1
P24;22; VR+ ; 818.151000976562 ; 648.731018066406 ; 346.341003417969 ; 531.85400390625 ;150;154;114;102;272;273;137;205;1;4;0;0
P23;21; Real ; 904.320983886719 ; 289.408020019531 ; 304.584991455078 ; 209.182006835937 ;213;81;83;81;392;124;160;109;0;0;0;0
P22;20; VR ; 958.408996582031 ; 988.861938476563 ; 915.620971679688 ; 755.673950195313 ;186;270;264;162;444;501;512;410;6;5;3;1
P21;19; Real ; 662.7080078125 ; 667.497009277344 ; 564.358032226563 ; 405.93701171875 ;157;189;189;137;418;416;347;249;0;1;0;0
P20;18; VR+ ; 760.0400390625 ; 376.813018798828 ; 290.841003417969 ; 695.320983886719 ;299;198;188;216;296;158;141;422;5;2;2;1
P19;17; VR ; 847.1259765625 ; 301.608001708984 ; 336.585998535156 ; 293.760986328125 ;277;152;109;111;517;131;169;156;6;0;1;0
P18;16; VR ; 759.743041992188 ; 323.278991699219 ; 312.473999023437 ; 326.177978515625 ;181;88;94;91;349;145;170;153;1;1;0;0
P17;15; VR+ ; 545.320007324219 ; 394.536987304688 ; 290.096008300781 ; 315.028991699219 ;236;198;146;88;294;229;162;203;0;4;1;0
P16;14; Real ; 899.078002929688 ; 594.714965820313 ; 930.828002929687 ; 686.244018554688 ;193;170;290;234;444;384;570;481;0;0;0;1
P15;13; VR ; 1632.7880859375 ; 700.808959960937 ; 1448.18505859375 ; 814.828979492187 ;251;116;217;174;657;292;630;396;4;2;3;0
P13;12; VR+ ; 850.859008789062 ; 324.434020996094 ; 563.541015625 ; 927.077026367187 ;345;126;210;265;428;214;298;493;5;0;1;0
P12;11; Real ; 928.588012695312 ; 703.796997070313 ; 687.421020507813 ; 572.552001953125 ;207;166;194;176;458;364;405;262;2;0;0;0
P11;10; VR ; 1175.33996582031 ; 739.492004394531 ; 747.117065429688 ; 557.002014160156 ;205;194;246;133;483;536;596;466;4;2;3;0
P10;9; VR+ ; 730.625 ; 423.626007080078 ; 521.552001953125 ; 647.257995605469 ;192;216;282;189;368;299;370;514;0;3;1;1
P9;8; Real ; 431.45703125 ; 906.925964355469 ; 468.636993408203 ; 587.781982421875 ;140;332;164;238;405;824;451;511;0;4;0;3
P8;7; VR ; 1061.17602539063 ; 760.724975585937 ; 536.360961914063 ; 440.838989257813 ;191;150;124;135;396;294;211;205;8;8;4;0
P7;6; VR+ ; 604.841003417969 ; 464.080993652344 ; 791.247009277344 ; 854.579956054688 ;276;213;382;167;355;291;461;457;1;1;2;0
P6;5; VR+ ; 909.911010742188 ; 319.376983642578 ; 363.519989013672 ; 542.35498046875 ;551;209;280;202;437;161;205;313;3;0;0;0
P5;4; Real ; 1043.38793945313 ; 751.804992675781 ; 511.756988525391 ; 523.717041015625 ;397;323;248;207;553;418;332;205;0;0;0;0
P4;3; VR ; 1444.166015625 ; 684.588989257813 ; 572.794006347656 ; 433.544006347656 ;496;234;227;158;989;471;396;306;4;5;3;0
P3;2; Real ; 1358.98706054688 ; 779.31201171875 ; 475.203979492188 ; 408.597991943359 ;442;289;174;125;839;471;294;219;0;1;0;2
P0;1; VR+ ; 374.252990722656 ; 368.276977539062 ; 428.131988525391 ; 473.386016845703 ;106;121;178;118;170;210;199;222;1;0;1;2
