Participant;Group;Run;Time;Btn;Joystick;Drops
P32;Real;R1;776.640991210938;198;616;2
P31;VR+;R1;647.22998046875;305;270;4
P30;Real;R1;929.386962890625;264;630;1
P29;Real;R1;1090.02197265625;194;459;0
P28;VR;R1;596.455017089844;219;386;5
P27;VR;R1;422.658996582031;183;309;5
P26;VR;R1;393.553039550781;111;299;1
P25;VR+;R1;361.196014404297;304;241;2
P24;VR+;R1;818.151000976562;150;272;1
P23;Real;R1;904.320983886719;213;392;0
P22;VR;R1;958.408996582031;186;444;6
P21;Real;R1;662.7080078125;157;418;0
P20;VR+;R1;760.0400390625;299;296;5
P19;VR;R1;847.1259765625;277;517;6
P18;VR;R1;759.743041992188;181;349;1
P17;VR+;R1;545.320007324219;236;294;0
P16;Real;R1;899.078002929688;193;444;0
P15;VR;R1;1632.7880859375;251;657;4
P13;VR+;R1;850.859008789062;345;428;5
P12;Real;R1;928.588012695312;207;458;2
P11;VR;R1;1175.33996582031;205;483;4
P10;VR+;R1;730.625;192;368;0
P9;Real;R1;431.45703125;140;405;0
P8;VR;R1;1061.17602539063;191;396;8
P7;VR+;R1;604.841003417969;276;355;1
P6;VR+;R1;909.911010742188;551;437;3
P5;Real;R1;1043.38793945313;397;553;0
P4;VR;R1;1444.166015625;496;989;4
P3;Real;R1;1358.98706054688;442;839;0
P0;VR+;R1;374.252990722656;106;170;1
P32;Real;R2;431.251007080078;102;343;0
P31;VR+;R2;558.833984375;296;282;2
P30;Real;R2;786.788024902344;226;463;0
P29;Real;R2;954.893981933594;211;359;2
P28;VR;R2;180.911987304688;76;118;2
P27;VR;R2;472.733001708984;248;384;1
P26;VR;R2;328.074005126953;114;213;1
P25;VR+;R2;264.065002441406;248;219;1
P24;VR+;R2;648.731018066406;154;273;4
P23;Real;R2;289.408020019531;81;124;0
P22;VR;R2;988.861938476563;270;501;5
P21;Real;R2;667.497009277344;189;416;1
P20;VR+;R2;376.813018798828;198;158;2
P19;VR;R2;301.608001708984;152;131;0
P18;VR;R2;323.278991699219;88;145;1
P17;VR+;R2;394.536987304688;198;229;4
P16;Real;R2;594.714965820313;170;384;0
P15;VR;R2;700.808959960937;116;292;2
P13;VR+;R2;324.434020996094;126;214;0
P12;Real;R2;703.796997070313;166;364;0
P11;VR;R2;739.492004394531;194;536;2
P10;VR+;R2;423.626007080078;216;299;3
P9;Real;R2;906.925964355469;332;824;4
P8;VR;R2;760.724975585937;150;294;8
P7;VR+;R2;464.080993652344;213;291;1
P6;VR+;R2;319.376983642578;209;161;0
P5;Real;R2;751.804992675781;323;418;0
P4;VR;R2;684.588989257813;234;471;5
P3;Real;R2;779.31201171875;289;471;1
P0;VR+;R2;368.276977539062;121;210;0
P32;Real;R3;526.325988769531;171;460;0
P31;VR+;R3;355.059997558594;202;193;0
P30;Real;R3;607.796997070313;201;294;1
P29;Real;R3;751.651977539063;174;289;0
P28;VR;R3;206.953002929687;79;122;3
P27;VR;R3;321.691009521484;135;223;3
P26;VR;R3;226.35400390625;88;121;0
P25;VR+;R3;253.186004638672;259;195;1
P24;VR+;R3;346.341003417969;114;137;0
P23;Real;R3;304.584991455078;83;160;0
P22;VR;R3;915.620971679688;264;512;3
P21;Real;R3;564.358032226563;189;347;0
P20;VR+;R3;290.841003417969;188;141;2
P19;VR;R3;336.585998535156;109;169;1
P18;VR;R3;312.473999023437;94;170;0
P17;VR+;R3;290.096008300781;146;162;1
P16;Real;R3;930.828002929687;290;570;0
P15;VR;R3;1448.18505859375;217;630;3
P13;VR+;R3;563.541015625;210;298;1
P12;Real;R3;687.421020507813;194;405;0
P11;VR;R3;747.117065429688;246;596;3
P10;VR+;R3;521.552001953125;282;370;1
P9;Real;R3;468.636993408203;164;451;0
P8;VR;R3;536.360961914063;124;211;4
P7;VR+;R3;791.247009277344;382;461;2
P6;VR+;R3;363.519989013672;280;205;0
P5;Real;R3;511.756988525391;248;332;0
P4;VR;R3;572.794006347656;227;396;3
P3;Real;R3;475.203979492188;174;294;0
P0;VR+;R3;428.131988525391;178;199;1
P32;Real;R4;541.254028320313;207;457;1
P31;VR+;R4;724.554992675781;241;484;0
P30;Real;R4;415.273986816406;156;198;0
P29;Real;R4;408.035003662109;80;158;0
P28;VR;R4;367.807006835937;155;260;2
P27;VR;R4;293.497009277344;158;245;0
P26;VR;R4;302.786010742187;109;168;0
P25;VR+;R4;298.713012695312;182;279;1
P24;VR+;R4;531.85400390625;102;205;0
P23;Real;R4;209.182006835937;81;109;0
P22;VR;R4;755.673950195313;162;410;1
P21;Real;R4;405.93701171875;137;249;0
P20;VR+;R4;695.320983886719;216;422;1
P19;VR;R4;293.760986328125;111;156;0
P18;VR;R4;326.177978515625;91;153;0
P17;VR+;R4;315.028991699219;88;203;0
P16;Real;R4;686.244018554688;234;481;1
P15;VR;R4;814.828979492187;174;396;0
P13;VR+;R4;927.077026367187;265;493;0
P12;Real;R4;572.552001953125;176;262;0
P11;VR;R4;557.002014160156;133;466;0
P10;VR+;R4;647.257995605469;189;514;1
P9;Real;R4;587.781982421875;238;511;3
P8;VR;R4;440.838989257813;135;205;0
P7;VR+;R4;854.579956054688;167;457;0
P6;VR+;R4;542.35498046875;202;313;0
P5;Real;R4;523.717041015625;207;205;0
P4;VR;R4;433.544006347656;158;306;0
P3;Real;R4;408.597991943359;125;219;2
P0;VR+;R4;473.386016845703;118;222;2
