"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1265","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","8.256995","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","14.164972","0","4"
"/OculusXR/Materials/M_FloorMask.M_FloorMask","21","2","2","1","8.812719","0","2"
"/OculusXR/Materials/M_SceneObjectMask.M_SceneObjectMask","21","2","2","1","1.075641","0","2"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","7.675984","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","1.321436","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","17","17","1","41.159622","0","17"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","4","1","2.092903","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","6.168364","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","20","20","1","38.964035","0","20"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","30","30","1","60.403328","0","30"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","135","135","1","291.122803","0","135"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","0.936185","0","2"
"/OculusXR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","0.911900","0","2"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","8","1","7.684090","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.851057","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","30","1","69.770798","0","30"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","15","1","34.122795","0","15"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.096134","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.085929","0","2"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","4","1","3.113013","0","4"
"/OculusXR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","1.001256","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","7","7","1","5.343700","0","7"
"/Engine/EngineDebugMaterials/VertexColorViewMode_GreenOnly.VertexColorViewMode_GreenOnly","21","8","8","1","7.554179","0","8"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","10","1","15.941253","0","10"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","15","15","1","33.979858","0","15"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","0.948720","0","2"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","21","30","30","1","33.664333","0","30"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","21","60","60","1","139.229752","0","60"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","30","30","1","0.000000","0","30"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","15","15","1","0.000000","0","15"
"/OculusXR/Materials/M_DistanceMapAll.M_DistanceMapAll","21","2","2","1","2.171790","0","2"
"/OculusXR/Materials/M_DistanceMapOccupied.M_DistanceMapOccupied","21","2","2","1","2.144941","0","2"
"/OculusXR/Materials/M_DistanceMapFree.M_DistanceMapFree","21","2","2","1","1.095288","0","2"
